word,category,score,memo
?,종결부호,0,형태소 분해용
%,기타특수문자,0,형태소 분해용
m,알파벳,0,형태소 분해용
나,보조사,3,
이나,접속조사,1,
지만,연결어미,,
ᆫ다면서,연결어미,10,커스텀 어미
라면서,연결어미,10,커스텀 어미
랬는데,연결어미,5,커스텀 어미
랬는데,종결어미,5,커스텀 어미
ᆫ다는데,연결어미,10,커스텀 어미
려니까,연결어미,10,커스텀 어미
다는,연결어미,3,커스텀 어미
다니,연결어미,5,커스텀 어미
라니,연결어미,5,커스텀 어미
라니까,연결어미,5,커스텀 어미
려는,연결어미,10,커스텀 어미

잖아,종결어미,10,커스텀 어미
잖아요,종결어미,10,커스텀 어미
잖니,종결어미,10,커스텀 어미
잖나,종결어미,10,커스텀 어미
잖나요,종결어미,10,커스텀 어미
잖냐,종결어미,10,커스텀 어미
잖소,종결어미,10,커스텀 어미
잖음,종결어미,10,커스텀 어미
잖슴까,종결어미,10,커스텀 어미
잖는가,종결어미,10,커스텀 어미
슴까,종결어미,1,커스텀 어미
ᆷ까,종결어미,1,커스텀 어미
답니다,종결어미,10,커스텀 어미
랍니다,종결어미,10,커스텀 어미
갑네,종결어미,,커스텀 어미
갑다,종결어미,,커스텀 어미

우는소리,일반명사,1,비유적 표현과 구별 필요

온데간데,일반명사,,띄어쓰기 검출용
보잘것,일반명사,5,오타 검출용
탑제,일반명사,-10,오타 검출용
에초,일반명사,-10,오타 검출용
요세,일반명사,-10,오타 검출용
내제,일반명사,-10,오타 검출용
덩쿨,일반명사,-10,오타 검출용
재패,일반명사,-10,오타 검출용
노말,일반명사,-10,오타 검출용
피쳐링,일반명사,,오타 검출용
애벌래,일반명사,-10,오타 검출용
파인에플,일반명사,-10,오타 검출용
캡쳐,일반명사,-10,오타 검출용
제배,일반명사,-10,오타 검출용
반대펴,일반명사,-10,오타 검출용
체널,일반명사,-10,오타 검출용
선술,일반명사,,오타 검출용
쉐도,일반명사,-10,오타 검출용
펫말,일반명사,-10,오타 검출용
노말,일반명사,-5,오타 검출용
뜬금,일반명사,-8,오타 검출용
뜬끔,일반명사,-10,오타 검출용
꼴지,일반명사,-10,오타 검출용
덮게,일반명사,-10,오타 검출용
지우게,일반명사,-10,오타 검출용
배게,일반명사,-10,오타 검출용
버젼,일반명사,-10,오타 검출용
항후,일반명사,-10,오타 검출용
채감,일반명사,-10,오타 검출용
자채,일반명사,-10,오타 검출용
순의,일반명사,-10,오타 검출용
패트병,일반명사,-10,오타 검츌용
짝궁,일반명사,-10,오타 검출용
실증,일반명사,-10,오타 검출용
출물,일반명사,-10,오타 검출용
제네레이션,일반명사,-10,오타 검출용
해쉬,일반명사,-10,오타 검출용
탬,일반명사,-10,오타 검출용
이아기,일반명사,-10,오타 검출용
색체,일반명사,-10,오타 검출용
개발살,일반명사,-10,오타 검출용
산제,일반명사,-5,오타 검출용
칩입,일반명사,-10,오타 검출용
쯔음,일반명사,-5,오타 검출용
건유,일반명사,-10,오타 검출용
몰건,일반명사,-5,오타 검출용
재출,일반명사,-5,오타 검출용
텍스쳐,일반명사,-10,오타 검출용
달련,일반명사,-10,오타 검출용

즉슨,일반명사,-10,띄어쓰기 검출용
가문비,일반명사,-5,띄어쓰기 검출용
메크로,일반명사,-10,띄어쓰기 검출용
오마쥬,일반명사,-10,띄어쓰기 검출용

쳔,수사,-10,오타 검출용

넓쩍,어근,-10,오타 검출용
앵간,어근,-5,오타 검출용
엥간,어근,-10,오타 검출용
짧막,어근,-10,오타 검출용

건내,동사,-2,오타 검출용
떼우,동사,,오타 검출용
붙히,동사,-8,오타 검출용
얽히고섥히,동사,,오타 검출용
얼키고설키,동사,,오타 검출용
얽키고섥히,동사,,오타 검출용
얽히고섥이,동사,,오타 검출용
꺼매지,동사,,오타 검출용
꺼메지,동사,,오타 검출용
퍼래지,동사,,오타 검출용
매마르,동사,,오타 검출용
짓껄이,동사,,오타 검출용
본따,동사,2,오타 검출용
쭈구리,동사,,오타 검출용
도우,동사,-10,오타 검출용
매꾸,동사,-10,오타 검출용
갖히,동사,-10,오타 검출용
곂치,동사,-10,오타 검출용
꼬오,동사,-10,오타 검출용
몰아붙히,동사,-10,오타 검출용
울궈먹,동사,-10,오타 검출용
뭍히,동사,-10,오타 검출용
파뭍히,동사,-10,오타 검출용
베어나오,동사,-10,오타 검출용
멤돌,동사,-10,오타 검출용
눌러붙,동사,0,오타 검출용
해매,동사,-10,오타 검출용
해매이,동사,-10,오타 검출용
높히,동사,-3,오타 검출용
같히,동사,-10,오타 검출용
메달리,동사,-10,오타 검출용
통들,동사,-5,오타 검출용
꺽,동사,-6,오타 검출용
찌뿌리,동사,-10,오타 검출용
낯추,동사,-10,오타 검출용
깨닿,동사,-10,오타 검출용
없에,동사,-10,오타 검출용
띄이,동사,-10,오타 검출용
쫒,동사,-10,오타 검출용
쓰려뜨리,동사,-10,오타 검출용
쓰려트리,동사,-10,오타 검출용
사그러드,동사,-10,오타 검출용
맞기,동사,-8,오타 검출용
팅기,동사,-10,오타 검출용
건들이,동사,-10,오타 검출용
건들리,동사,-10,오타 검출용
일그려지,동사,-10,오타 검출용
맞딱드리,동사,-10,오타 검출용
맞딱뜨리,동사,-10,오타 검출용
재끼,동사,-10,오타 검출용
흘려나오,동사,-5,오타 검출용
세어나가,동사,-5,오타 검출용
내새우,동사,-10,오타 검출용
처다보,동사,-10,오타 검출용
얻어텨지,동사,-10,오타 검출용
텨지,동사,-10,오타 검출용
뺐기,동사,-10,오타 검출용
쳐하,동사,-5,오타 검출용
걸맞추,동사,-10,오타 검출용
불려들,동사,-5,오타 검출용
깨닳,동사,-10,오타 검출용
꽂이,동사,-10,오타 검출용
때가,동사,-6,오타 검출용
휘졌,동사,-10,오타 검출용
께,동사,-10,오타 검출용
처들,동사,-5,오타 검출용
이르키,동사,-10,오타 검출용
앎,동사,-10,오타 검출용
쳐넣,동사,-5,오타 검출용
배끼,동사,-8,오타 검출용

멋드러지,형용사,,오타 검출용
어쭙찮,형용사,,오타 검출용
낮설,형용사,-10,오타 검출용
실날같,형용사,-10,오타 검출용
갸냘프,형용사,-10,오타 검출용

여려,관형사,-10,오타 검출용

꾀나,일반부사,-5,오타 검출용
게속,일반부사,-10,오타 검출용
걔속,일반부사,-10,오타 검출용
재일,일반부사,-10,오타 검출용
나즈막이,일반부사,-10,오타 검출용
나즈막히,일반부사,-10,오타 검출용
나지막히,일반부사,-10,오타 검출용
그마마,일반부사,-10,오타 검출용
다짜고자,일반부사,-10,오타 검출용
훨신,일반부사,1,오타 검출용
가끔식,일반부사,-5,오타 검출용
몰론,일반부사,-10,오타 검출용
먼져,일반부사,-10,오타 검출용

뒤치락,일반부사,-5,띄어쓰기 검출용

마져,보조사,,오타 검출용

겠끔,연결어미,-10,오타 검출용
지언정,연결어미,-10,오타 검출용
곘,선어말어미,-10,오타 검출용
았,선어말어미,-10,오타 검출용
따,종결어미,-2,오타 검출용
나끼,종결어미,-10,오타 검출용
